"Feature","Importance"
"cytoplasmic_typecytoplasmic_type_not_applicable",2212.19364765023
"cys_position_from_topo_start",2092.56322260781
"cys_position_from_topo_end",1166.49451421074
"relative_cys_position_topology",1118.03861825285
"Topological_length",1005.12137073879
"window_n_hydrophobicity",783.187915972635
"window_polar_c",715.864769365002
"window_polar_n",706.441949000332
"window_transmembrane_tendency_n",683.642702912524
"window_c_hydrophobicity",662.791341470273
"window_transmembrane_tendency_c",592.513681953482
"cytoplasmic_typeloop",473.184057556157
"window_aliphatic_n",409.92030638373
"window_cys_score_c",403.552863557178
"window_cys_score_n",386.746001324943
"window_net_charge_c",344.869967641202
"window_aliphatic_c",337.268828169142
"transmembrane_typemulti",310.452844030026
"Topological_locationExtracellular",307.839509580519
"orientationinward",247.527200395474
